date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:03	40811/40811	------	200	untouched ('OK')	text/html	etag:%2262b21383637650384fa6ccd84921c503-ssl-df%22	https://kontraktorepoxy.netlify.app/	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/index.html	(from )
09:09:03	1449/1449	------	404	error ('Not%20Found')	text/html	etag:1517209094-ssl-df	https://kontraktorepoxy.netlify.app/robots.txt		(from )
09:09:03	156/156	------	404	error ('Not%20Found')	text/html	etag:1517209094-ssl-df	https://kontraktorepoxy.netlify.app/GET	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/GET.0.delayed	(from https://kontraktorepoxy.netlify.app/)
09:09:03	156/156	------	404	error ('Not%20Found')	text/html	etag:1517209094-ssl-df	https://kontraktorepoxy.netlify.app/feed/index.html	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/feed/index.1.delayed	(from https://kontraktorepoxy.netlify.app/)
09:09:03	156/156	------	404	error ('Not%20Found')	text/html	etag:1517209094-ssl-df	https://kontraktorepoxy.netlify.app/comments/feed/index.html	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/comments/feed/index.2.delayed	(from https://kontraktorepoxy.netlify.app/)
09:09:03	156/156	------	404	error ('Not%20Found')	text/html	etag:1517209094-ssl-df	https://kontraktorepoxy.netlify.app/xmlrpc.php?rsd	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/xmlrpc.1b0db0.delayed	(from https://kontraktorepoxy.netlify.app/)
09:09:03	189462/189462	------	200	untouched ('OK')	text/css	etag:%2202096386cda791b32c3f5539b15e78b5-ssl-df%22	https://kontraktorepoxy.netlify.app/wp-content/themes/mesmerize/style.css?ver=1.1.3	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/wp-content/themes/mesmerize/stylec358.css	(from https://kontraktorepoxy.netlify.app/)
09:09:03	2140/2140	------	200	untouched ('OK')	text/css	etag:%2236e8aa7b118f9b839e4b3ceaf719f894-ssl-df%22	https://kontraktorepoxy.netlify.app/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/assets/css/common.css?ver=1.0.173	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/assets/css/common0504.css	(from https://kontraktorepoxy.netlify.app/)
09:09:03	2149/2149	------	200	untouched ('OK')	text/css	etag:%2211be8378ef34f54968c29e3786526584-ssl-df%22	https://kontraktorepoxy.netlify.app/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/content.css?ver=1.0.173	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/wp-content/plugins/mesmerize-companion/theme-data/mesmerize/sections/content0504.css	(from https://kontraktorepoxy.netlify.app/)
09:09:03	1608/1608	------	200	untouched ('OK')	text/css	etag:%225a07bf87653495defed300701e42bcef-ssl-df%22	https://kontraktorepoxy.netlify.app/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9.2	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/wp-content/plugins/contact-form-7/includes/css/styles20fd.css	(from https://kontraktorepoxy.netlify.app/)
09:09:03	12660/12660	------	200	untouched ('OK')	text/css	etag:%22abefa26c6f48245804b511e10fa7b266-ssl-df%22	https://kontraktorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/public.css?ver=4.3.5	C:/My%20Web%20Sites/kontraktorepoxy.netlify.app/kontraktorepoxy.netlify.app/wp-content/plugins/easy-facebook-likebox/public/assets/css/public8f76.css	(from https://kontraktorepoxy.netlify.app/)
